id,nome,slug,imagem,score,status
treino_060,Búlgaro no Smith,bulgaro_no_smith,treino_neon_em_lunge_fitness.jpg,30,override_unused
treino_061,Elevação Pélvica,elevacao_pelvica,hip_thrust_com_iluminação_neon_roxa.jpg,30,override_unused
treino_062,Máquina de Elevação Pélvica,maquina_de_elevacao_pelvica,treino_de_hip_thrust_com_neon_roxo.jpg,30,override_unused
treino_063,Cadeira Flexora,cadeira_flexora,treino_intenso_na_cadeira_flexora_roxa.jpg,85,mapped
treino_064,Mesa Flexora,mesa_flexora,treino_neon_no_leg_curl.jpg,25,mapped
treino_065,Stiff,stiff,levantamento_terra_com_brilho_violeta.jpg,15,override_shared
treino_066,Panturrilha Sentada,panturrilha_sentada,sorriso_e_força_no_calf_raise.jpg,25,mapped
treino_067,Subida no Caixote Segurando no Espaldar,subida_no_caixote_segurando_no_espaldar,treino_neon_na_escada_fitness.jpg,30,override_unused
treino_068,Full Body – Agachamento Sumô com Elevação Frontal,full_body_agachamento_sumo_com_elevacao_frontal,agachamento_sumô_sob_luz_roxa.jpg,70,mapped
treino_069,Agachamento com Desenvolvimento,agachamento_com_desenvolvimento,agachamento_pendular_sob_luz_neon_roxa.jpg,35,mapped
treino_070,Full Body – Agachamento com Desenvolvimento Unilateral Alternado,full_body_agachamento_com_desenvolvimento_unilateral_alternado,treino_neon_com_desenvolvimento_unilateral.jpg,45,mapped
treino_071,Supino Reto Articulado – Pegada Neutra,supino_reto_articulado_pegada_neutra,mulher_treinando_no_supino_com_neon_roxo.jpg,35,mapped
treino_072,Supino Reto – Pegada Supinada na Máquina Articulada,supino_reto_pegada_supinada_na_maquina_articulada,supino_inclinado_com_halteres_sob_luz_neon_lilás.jpg,35,mapped
treino_073,Supino Inclinado – Pegada Neutra,supino_inclinado_pegada_neutra,prensa_de_peito_sob_luzes_roxas.jpg,25,mapped
treino_074,Supino Inclinado – Pegada Supinada,supino_inclinado_pegada_supinada,pressão_de_peito_com_halo_roxo.jpg,25,mapped
treino_075,Supino com Halteres no Banco Inclinado,supino_com_halteres_no_banco_inclinado,treino_de_peito_com_brilho_roxo.jpg,30,override_unused
treino_076,Peitoral no Peck Fly,peitoral_no_peck_fly,treino_neon_no_peck_deck.jpg,35,mapped
treino_077,Puxada com Barra Longa,puxada_com_barra_longa,puxada_na_polia_com_iluminação_roxa.jpg,35,mapped
treino_078,Barra Fixa no Graviton,barra_fixa_no_graviton,treino_graviton_sob_luz_neon_roxa.jpg,35,mapped
treino_079,Puxada com Triângulo,puxada_com_triangulo,treino_de_costas_com_brilho_neon_roxo.jpg,30,override_unused
treino_080,Puxada com Barra W,puxada_com_barra_w,treino_de_costas_com_brilho_roxo.jpg,30,override_unused
treino_081,Face Pull,face_pull,mulher_treinando_face_pull_em_academia_neon.jpg,85,mapped
treino_082,Pulldown com Barra Reta,pulldown_com_barra_reta,treino_de_costas_sob_luz_neon_roxa.jpg,30,override_unused
treino_083,Puxada Alta com Corda,puxada_alta_com_corda,mulher_fitness_saltando_à_corda_neon.jpg,35,mapped
treino_084,Remada Sentada com Triângulo,remada_sentada_com_triangulo,remada_alta_com_brilho_neon_roxo.jpg,35,mapped
treino_085,Remada Curvada com Barra,remada_curvada_com_barra,remada_com_barra_em_luz_neon_roxa.jpg,45,mapped
treino_086,Rosca Direta na Polia Baixa com Barra Reta,rosca_direta_na_polia_baixa_com_barra_reta,treino_de_bíceps_sob_luz_neon_roxa.jpg,25,mapped
treino_087,Rosca Direta com Halteres,rosca_direta_com_halteres,treino_de_bíceps_sob_luzes_roxas.jpg,25,mapped
treino_088,Bíceps Alternado / Unilateral,biceps_alternado_unilateral,levantamento_unilateral_com_halteres_em_academia_n.jpg,30,override_unused
treino_089,Rosca Direta na Máquina,rosca_direta_na_maquina,rosca_bíceps_no_estúdio_roxo.jpg,15,override_shared
treino_090,Rosca Direta Alternada com Rotação de Cotovelos,rosca_direta_alternada_com_rotacao_de_cotovelos,rosca_bíceps_no_estúdio_roxo.jpg,15,override_shared
treino_091,Rosca Martelo com Corda,rosca_martelo_com_corda,treino_com_corda_sob_luz_neon_roxa.jpg,35,mapped
treino_092,Rosca Unilateral na Polia Baixa,rosca_unilateral_na_polia_baixa,rosca_bíceps_no_estúdio_roxo.jpg,15,override_shared
treino_093,Remada Alta na Polia,remada_alta_na_polia,remada_articulada_sob_luz_neon_roxa.jpg,35,mapped
treino_094,Remada Alta com Barra,remada_alta_com_barra,remada_baixa_no_aparelho_com_neon_roxo.jpg,35,mapped
treino_095,Remada Alta + Desenvolvimento com Barra,remada_alta_desenvolvimento_com_barra,pressão_de_ombros_com_halteres_em_neon.jpg,25,mapped
treino_096,Desenvolvimento com Halteres,desenvolvimento_com_halteres,treino_neon_no_press_de_ombros.jpg,25,mapped
treino_097,Desenvolvimento Arnold em Pé,desenvolvimento_arnold_em_pe,treino_neon_com_desenvolvimento_unilateral.jpg,15,override_shared
treino_098,Desenvolvimento na Máquina,desenvolvimento_na_maquina,treino_neon_no_press_de_ombros.jpg,15,override_shared
treino_099,Elevação Frontal na Polia com Barra Reta,elevacao_frontal_na_polia_com_barra_reta,elevação_frontal_com_brilho_púrpura.jpg,45,mapped
treino_100,Elevação Frontal – Ombro e Peitoral,elevacao_frontal_ombro_e_peitoral,elevação_frontal_com_luz_roxa.jpg,45,mapped
treino_101,Elevação Lateral + Desenvolvimento com Cotovelos à Frente,elevacao_lateral_desenvolvimento_com_cotovelos_a_frente,mulher_em_elevação_de_joelhos_com_halo_roxo.jpg,30,override_unused
treino_102,Elevação Frontal com Halteres,elevacao_frontal_com_halteres,elevação_frontal_sob_luzes_roxas.jpg,45,mapped
treino_103,Elevação Lateral na Polia,elevacao_lateral_na_polia,elevação_frontal_com_brilho_púrpura.jpg,15,override_shared
treino_104,Elevação Lateral no Banco,elevacao_lateral_no_banco,elevação_frontal_com_brilho_púrpura.jpg,15,override_shared
treino_105,Elevação Frontal com Anilha,elevacao_frontal_com_anilha,elevação_frontal_com_brilho_púrpura.jpg,15,override_shared
treino_106,Elevação Lateral com Halteres,elevacao_lateral_com_halteres,encarada_fitness_com_halteres_e_neon_roxo.jpg,30,override_unused
treino_107,Tríceps com Corda,triceps_com_corda,treino_de_tríceps_com_iluminação_neon_roxa.jpg,35,mapped
treino_108,Tríceps Francês com Corda,triceps_frances_com_corda,treino_de_tríceps_com_neon_roxo.jpg,35,mapped
treino_109,Tríceps Paralelo,triceps_paralelo,treino_de_tríceps_sob_luz_violeta.jpg,35,mapped
treino_110,Tríceps Francês com Corda,triceps_frances_com_corda,treino_de_tríceps_com_iluminação_neon_roxa.jpg,15,override_shared
treino_111,Tríceps Testa na Polia,triceps_testa_na_polia,treino_de_tríceps_com_iluminação_neon_roxa.jpg,15,override_shared
treino_112,Tríceps Francês com Corda,triceps_frances_com_corda,treino_de_tríceps_com_iluminação_neon_roxa.jpg,15,override_shared
treino_113,Full Body – Afundo com Recuo e Rosca Direta,full_body_afundo_com_recuo_e_rosca_direta,lunge_fitness_com_brilho_neon_roxo.jpg,25,mapped
treino_114,Full Body – Agachamento Sumô com Elevação Lateral,full_body_agachamento_sumo_com_elevacao_lateral,mulher_em_agachamento_com_luzes_roxas.jpg,35,mapped
treino_115,Full Body – Afundo com Recuo e Remada Curvada,full_body_afundo_com_recuo_e_remada_curvada,lunge_fitness_neon_roxo_gloss.jpg,25,mapped
treino_116,Búlgaro sem Peso,bulgaro_sem_peso,afundo_búlgaro_com_halteres_em_academia_neon.jpg,15,override_shared
treino_117,Remada Articulada,remada_articulada,remada_articulada_sob_luz_neon_roxa.jpg,15,override_shared
